             reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
CAS178_KS      3179640                  73704                 106209                2275618                3535611                  5962                      9841              3163837
CAS265A_KS     3956163                  88061                 134022                2813673                4433376                  7696                     12902              3935565
CAS276_KS      3719924                  82118                 128078                2789231                4455616                  7267                     12385              3700272
CAS277_KS      5269139                 123869                 194360                3465408                6741747                 10290                     18564              5240285
CAS298_KS      3497289                  76802                 117267                2496618                4570746                  6391                     12000              3478898
CAS299_KS      3081431                  68217                 112281                2482011                4164887                  5963                     11786              3063682
CSA151_TX       778556                  18694                  26656                 624808                1046183                  1416                      2997               774143
CSA208_TX      1006398                  25004                  35295                 735412                1310769                  1942                      3664              1000792
CSA402_TX      1235540                  27949                  40912                 919681                1669624                  2263                      4670              1228607
CSA422_TX      1676065                  41314                  59189                1257517                2146291                  3177                      6171              1666717
CSA92_TX        918338                  21293                  30402                 767304                1279101                  1748                      3664               912926
Davis_Davis     947670                  23382                  34222                 703709                1214433                  1741                      3487               942442
F10175_FL       449859                  12663                  20220                 342729                 578795                   883                      1570               447406
F10600_KS       816746                  21390                  29558                 580133                1021663                  1510                      2902               812334
F10601_KS       382163                  10518                  14344                 285140                 459617                   719                      1327               380117
F10616_KS       358426                   9674                  13182                 242257                 427360                   640                      1335               356451
F7627_KS        227508                   6184                   8992                 171695                 288553                   462                       875               226171
F7991_KS        702685                  17465                  25925                 509156                 864926                  1383                      2474               698828
F8015_FL        465802                  11513                  17372                 334493                 586525                   880                      1724               463198
alt16w2m_TX    3498437                  84196                 118030                2437699                4214679                  6598                     12142              3479697
alt16wlm_TX    3344620                  78161                 111472                2378552                4189164                  6381                     12568              3325671
alt17w2f_TX    3198163                  77606                 106691                2264556                3729079                  6106                     10914              3181143
alt17w4f_TX    1765299                  41173                  59944                1164544                2157103                  3439                      6427              1755433
alt95w2f_TX    2779519                  66737                  91669                1954422                3433951                  5405                     10449              2763665
