sample_ID	k1	k2
lampro1	57	43
lampro2	79	21
lampro3	89	11
lampro4	8	92
lampro5	17	83
lampro6	37	63
lampro7	49	51
lampro8	74	26
lampro9	39	61
lampro10	33	67
lampro11	90	10
lampro12	98	2
lampro13	60	40
lampro14	13	87
lampro15	70	30
lampro16	89	11
lampro17	38	62
lampro18	95	5
lampro19	48	52
lampro20	42	58
lampro21	71	29
lampro22	35	65
lampro23	9	91
lampro24	34	66
lampro25	11	89
lampro26	66	34
lampro27	96	4
lampro28	88	12
lampro29	84	16
lampro30	59	41
lampro31	54	46
lampro32	48	52
lampro33	97	3
lampro34	62	38
lampro35	72	28
lampro36	24	76
lampro37	15	85
lampro38	69	31
lampro39	23	77
lampro40	11	89
lampro41	100	0
lampro42	7	93
lampro43	16	84
lampro44	74	26
lampro45	55	45
lampro46	8	92
lampro47	73	27
lampro48	48	52
lampro49	29	71
lampro50	9	91
