sample_ID	state	reads_raw	reads_passed_filter	clusters_total	clusters_hidepth	hetero_est	error_est	reads_consens	loci_in_assembly
Rber_T1113a	7	1325769	1325165	322924	52046	0.014998	0.005683	34309	15266
Rber_T1113b	7	990429	990042	274337	39378	0.015587	0.006248	23762	12427
Rber_T1114	7	526937	526750	155871	20028	0.016128	0.006471	10846	6409
Rbla_D2864	7	1013594	1013181	211491	42789	0.010616	0.00477	30964	10638
Rbla_D2865	7	783243	782909	187525	33110	0.011303	0.005506	22094	8451
Rchi_T2034a	7	748006	747668	208201	19182	0.016474	0.007543	10514	2607
Rchi_T2034b	7	893997	893551	231457	25511	0.014364	0.007388	15088	3523
Rchi_T2049	7	718310	717980	202394	18530	0.016205	0.007663	10125	2544
Rneo_T480	7	1080926	1080515	283418	43132	0.010911	0.005109	30778	14527
Rneo_T527	7	1079884	1079458	246068	45492	0.010514	0.004669	33543	15052
Rsph_T25870	7	1095559	1095093	320685	43811	0.014733	0.005476	28633	9221
Rsph_T26064	7	1102849	1102357	329863	43283	0.014912	0.005502	28143	9056
